"","NDVI","Time","Type"
"1",-60.3849608006074,2000-02-18,"none"
"2",-65.1877766447159,2000-02-19,"none"
"3",-69.4121505619639,2000-02-20,"none"
"4",-73.0188705691271,2000-02-21,"none"
"5",-75.9698104111862,2000-02-22,"none"
"6",-78.2280565237977,2000-02-23,"none"
"7",-79.7580331294309,2000-02-24,"none"
"8",-80.5256244830882,2000-02-25,"none"
"9",-80.4982941305768,2000-02-26,"none"
"10",-79.6452007111549,2000-02-27,"none"
"11",-77.9373101382226,2000-02-28,"none"
"12",-75.3475036435119,2000-02-29,"none"
"13",-71.8506814730692,2000-03-01,"none"
"14",-67.4238618858483,2000-03-02,"none"
"15",-62.0462751588913,2000-03-03,"none"
"16",-55.6994523141388,2000-03-04,"none"
"17",-48.3673082894373,2000-03-05,"none"
"18",-40.0362192940022,2000-03-06,"none"
"19",-30.6950941061397,2000-03-07,"none"
"20",-20.3354390726199,2000-03-08,"none"
"21",-8.95141661223171,2000-03-09,"none"
"22",3.46010299072618,2000-03-10,"none"
"23",16.899496672105,2000-03-11,"none"
"24",31.3643507193515,2000-03-12,"none"
"25",46.849430091703,2000-03-13,"none"
"26",63.3466550536941,2000-03-14,"none"
"27",80.8450852286844,2000-03-15,"none"
"28",99.3309111581363,2000-03-16,"none"
"29",118.787453433762,2000-03-17,"none"
"30",139.195169448656,2000-03-18,"none"
"31",160.531667794363,2000-03-19,"none"
"32",182.771730309643,2000-03-20,"none"
"33",205.887341766809,2000-03-21,"none"
"34",229.847727160997,2000-03-22,"none"
"35",254.619396547371,2000-03-23,"none"
"36",280.166197351016,2000-03-24,"none"
"37",306.449374054137,2000-03-25,"none"
"38",333.427635145357,2000-03-26,"none"
"39",361.057227196129,2000-03-27,"none"
"40",389.29201591007,2000-03-28,"none"
"41",418.083573971922,2000-03-29,"none"
"42",447.381275504361,2000-03-30,"none"
"43",477.132396922701,2000-03-31,"none"
"44",507.282223959989,2000-04-01,"none"
"45",537.774164617888,2000-04-02,"none"
"46",568.549867782361,2000-04-03,"none"
"47",599.549347227336,2000-04-04,"none"
"48",630.711110714423,2000-04-05,"none"
"49",661.972293882439,2000-04-06,"none"
"50",693.268798606834,2000-04-07,"none"
"51",724.535435496348,2000-04-08,"none"
"52",755.706070182301,2000-04-09,"none"
"53",786.713773044798,2000-04-10,"none"
"54",817.490972010046,2000-04-11,"none"
"55",847.969608043627,2000-04-12,"none"
"56",878.081292956477,2000-04-13,"none"
